exportcountry,exportccode,importcountry,importccode,tiv_value,year,decade,fh_score,fh_scoreround,fh_rating,fh_rating_abc,top_exporter,top_importer
Albania,ALB,Burkina Faso,BFA,0.24,2011,2010s,4,4,PF,b) Partly Free,Other exporter,Other importer
Algeria,DZA,Angola,AGO,6,1980,1980s,7,7,NF,c) Not Free,Other exporter,Angola
Angola,AGO,Congo,COG,2.8,1979,1970s,7,7,NF,c) Not Free,Other exporter,Other importer
Angola,AGO,Cote d'Ivoire,CIV,0.72,2002,2000s,6,6,NF,c) Not Free,Other exporter,Other importer
Angola,AGO,Cote d'Ivoire,CIV,0.984,2002,2000s,6,6,NF,c) Not Free,Other exporter,Other importer
Angola,AGO,Guinea Bissau,GNB,0.048,1980,1980s,6,6,NF,c) Not Free,Other exporter,Other importer
Angola,AGO,USA,USA,20,1992,1990s,1,1,F,a) Free,Other exporter,USA
Argentina,ARG,Bolivia,BOL,2.22,2006,2000s,3,3,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Colombia,COL,6,1990,1990s,3.5,3.5,PF,b) Partly Free,Other exporter,Colombia
Argentina,ARG,Denmark,DNK,4,1987,1980s,1,1,F,a) Free,Other exporter,Denmark
Argentina,ARG,Ecuador,ECU,4.158,1995,1990s,2.5,2.5,F,a) Free,Other exporter,Ecuador
Argentina,ARG,Honduras,HND,1,1981,1980s,2.5,2.5,F,a) Free,Other exporter,Other importer
Argentina,ARG,Honduras,HND,1,1982,1980s,3,3,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Honduras,HND,1,1983,1980s,2.5,2.5,F,a) Free,Other exporter,Other importer
Argentina,ARG,Iran,IRN,9,1984,1980s,5.5,5.5,PF,b) Partly Free,Other exporter,Iran
Argentina,ARG,Paraguay,PRY,0.252,1972,1970s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,1,1979,1970s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,1.08,1980,1980s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,1.2,2011,2010s,3,3,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,1.28,1976,1970s,5.5,5.5,NF,c) Not Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,2.016,1982,1980s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Paraguay,PRY,10.56,1972,1970s,5,5,PF,b) Partly Free,Other exporter,Other importer
Argentina,ARG,Spain,ESP,6,2001,2000s,1.5,1.5,F,a) Free,Other exporter,Spain
Argentina,ARG,Sri Lanka,LKA,3.8,1994,1990s,4.5,4.5,PF,b) Partly Free,Other exporter,Sri Lanka
Argentina,ARG,Sri Lanka,LKA,11.4,1993,1990s,4.5,4.5,PF,b) Partly Free,Other exporter,Sri Lanka
Argentina,ARG,Uruguay,URY,0.37,1991,1990s,1.5,1.5,F,a) Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,0.37,1994,1990s,2,2,F,a) Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,0.48,1979,1970s,6,6,NF,c) Not Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,2,2000,2000s,1,1,F,a) Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,6.3,1979,1970s,6,6,NF,c) Not Free,Other exporter,Uruguay
Argentina,ARG,Uruguay,URY,22.8,1981,1980s,5,5,PF,b) Partly Free,Other exporter,Uruguay
Aruba,ABW,Israel,ISR,17.8,1996,1990s,2,2,F,a) Free,Other exporter,Israel
Australia,AUS,Brazil,BRA,6,1976,1970s,4.5,4.5,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brazil,BRA,6,1977,1970s,4.5,4.5,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brazil,BRA,6,1978,1970s,4,4,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brazil,BRA,6,1979,1970s,3.5,3.5,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brazil,BRA,6,1980,1980s,3.5,3.5,PF,b) Partly Free,Australia,Brazil
Australia,AUS,Brunei,BRN,9.8,1996,1990s,6,6,NF,c) Not Free,Australia,Brunei
Australia,AUS,Cambodia,KHM,6,1972,1970s,5.5,5.5,NF,c) Not Free,Australia,Cambodia
Australia,AUS,Fiji,FJI,6,1994,1990s,3.5,3.5,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Fiji,FJI,12,1995,1990s,3.5,3.5,PF,b) Partly Free,Australia,Other importer
Australia,AUS,Ghana,GHA,0.22,2006,2000s,1.5,1.5,F,a) Free,Australia,Ghana
Australia,AUS,Indonesia,IDN,1.152,1978,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,2,1973,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,2.4,1973,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,2.4,1974,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,3,1975,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,3.96,1982,1980s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,3.96,1986,1980s,5.5,5.5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,4.5,1997,1990s,6,6,NF,c) Not Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,6,1976,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,7.92,1983,1980s,5.5,5.5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,7.92,1985,1980s,5.5,5.5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,8,2003,2000s,3.5,3.5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,9.6,1997,1990s,6,6,NF,c) Not Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,10,1978,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,15,1981,1980s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,15,1982,1980s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,20,1979,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Indonesia,IDN,22.4,1973,1970s,5,5,PF,b) Partly Free,Australia,Indonesia
Australia,AUS,Iraq,IRQ,0.22,2004,2000s,6,6,NF,c) Not Free,Australia,Iraq
Australia,AUS,Jordan,JOR,0.66,2006,2000s,4.5,4.5,PF,b) Partly Free,Australia,Jordan
Australia,AUS,Kiribati,KIR,6,1994,1990s,1,1,F,a) Free,Australia,Other importer
Australia,AUS,Kuwait,KWT,0.36,1997,1990s,5,5,PF,b) Partly Free,Australia,Kuwait
Australia,AUS,Kuwait,KWT,3.6,1998,1990s,5,5,PF,b) Partly Free,Australia,Kuwait
Australia,AUS,Kuwait,KWT,15,1993,1990s,5,5,PF,b) Partly Free,Australia,Kuwait
Australia,AUS,Lesotho,LSO,0.24,2004,2000s,2.5,2.5,F,a) Free,Australia,Other importer
Australia,AUS,Malaysia,MYS,0.69,2001,2000s,5,5,PF,b) Partly Free,Australia,Malaysia
Australia,AUS,Marshall Islands,MHL,6,1991,1990s,1,1,F,a) Free,Australia,Other importer
Australia,AUS,Micronesia,FSM,6,1997,1990s,1.5,1.5,F,a) Free,Australia,Other importer
